,Mood,Title,Content
0,happy,Anyone Else But You,https://www.youtube.com/watch?v=ceV62E-c86g
1,happy,You Give Me Something,https://www.youtube.com/watch?v=UZp6dhheriM
2,happy,"Sitting, Waiting, Wishing",https://www.youtube.com/watch?v=IhTvifGShw4
3,happy,Banana Pancakes,https://www.youtube.com/watch?v=OkyrIRyrRdY
4,happy,Opportunity,https://www.youtube.com/watch?v=VvgC6d1SGqI
5,happy,Good People,https://www.youtube.com/watch?v=cG8kBsjfVp8
6,happy,Do You Remember,https://www.youtube.com/watch?v=CZbORKIAyOU
7,happy,Free,https://www.youtube.com/watch?v=l3b2k08f3b8
8,happy,Steal My Kisses,https://www.youtube.com/watch?v=BSTBs3IEVQs
9,happy,Blessed,https://www.youtube.com/watch?v=EGokJ5XRsHA
10,happy,Fearless,https://www.youtube.com/watch?v=ptSjNWnzpjg
11,happy,Flowers on the Wall,https://www.youtube.com/watch?v=Bg1di8sGxWc
12,happy,Travelin' Soldier,https://www.youtube.com/watch?v=H3b1AQFsPcc
13,happy,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
14,happy,Our Song,https://www.youtube.com/watch?v=Jb2stN7kH28
15,happy,All Summer Long,https://www.youtube.com/watch?v=uwIGZLjugKA
16,happy,Fearless,https://www.youtube.com/watch?v=ptSjNWnzpjg
17,happy,Flowers on the Wall,https://www.youtube.com/watch?v=Bg1di8sGxWc
18,happy,Travelin' Soldier,https://www.youtube.com/watch?v=H3b1AQFsPcc
19,happy,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
20,happy,"Eh, Eh (Nothing Else I Can Say)",https://www.youtube.com/watch?v=mVEG793G3N4
21,happy,Happy Together,https://www.youtube.com/watch?v=9ZEURntrQOg
22,happy,Young Folks,https://www.youtube.com/watch?v=iArXv64tCJA
23,happy,Such Great Heights,https://www.youtube.com/watch?v=0wrsZog8qXg
24,happy,God Only Knows,https://www.youtube.com/watch?v=4yN6iaaOyk0
25,happy,Downtown,https://www.youtube.com/watch?v=cxbrUgdSyN8
26,happy,Everything,https://www.youtube.com/watch?v=soMQ4wQ8-3s
27,happy,Alfie,https://www.youtube.com/watch?v=Sr2Grfi3lFg
28,happy,Love Shack,https://www.youtube.com/watch?v=9SOryJvTAGs
29,happy,Your Song,https://www.youtube.com/watch?v=GlPlfCy1urI
30,in-love,More Than Words,https://www.youtube.com/watch?v=UrIiLvg58SY
31,in-love,And I Love Her,https://www.youtube.com/watch?v=5tc0gLSSU1M
32,in-love,Pink Moon,https://www.youtube.com/watch?v=aXnfhnCoOyo
33,in-love,Iris,https://www.youtube.com/watch?v=NdYWuo9OFAw
34,in-love,Please Forgive Me,https://www.youtube.com/watch?v=VsDMjet0fyo
35,in-love,Pain Killer,https://www.youtube.com/watch?v=GkIZXKJmZ38
36,in-love,Liberated,https://www.youtube.com/watch?v=ZxAWsrkQizY
37,in-love,Sakhalin,https://www.youtube.com/watch?v=Mnd0j8QwQI4
38,in-love,Method  Acting,https://www.youtube.com/watch?v=ib71HDNM5f4
39,in-love,The Gardener,https://www.youtube.com/watch?v=Wa3lyo_Eowc
40,in-love,Ring of Fire,https://www.youtube.com/watch?v=It7107ELQvY
41,in-love,A Love That Will Never Grow Old,https://www.youtube.com/watch?v=AwLvgLX6urc
42,in-love,Making Memories of Us,https://www.youtube.com/watch?v=EhUUzyaOwHI
43,in-love,My Blue Angel,https://www.youtube.com/watch?v=0TZco6I5f_o
44,in-love,Carrying Your Love With Me,https://www.youtube.com/watch?v=3YW3W5RPV-0
45,in-love,santa fe,https://www.youtube.com/watch?v=SRYmP03TsOs
46,in-love,Always on My Mind,https://www.youtube.com/watch?v=ejLuIGv4slw
47,in-love,Hey Stephen,https://www.youtube.com/watch?v=KQNZLnVjT6w
48,in-love,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
49,in-love,Our Song,https://www.youtube.com/watch?v=Jb2stN7kH28
50,in-love,Escape,https://www.youtube.com/watch?v=9mQJaXwGPlg
51,in-love,Breathe (2 AM),https://www.youtube.com/watch?v=FcvXr-9XtgA
52,in-love,Tainted Love,https://www.youtube.com/watch?v=XZVpR3Pk-r8
53,in-love,That's the Way Love Goes,https://www.youtube.com/watch?v=TJgiTCkoJFM
54,in-love,Lovely World Dies - Live,https://www.youtube.com/watch?v=-deDeBwCl3k
